Country,id,Traveller Entry,TEC,Covid-19 Test,CTC,Quarantine,QC,Masks,MC,Shopping,SC,Transportation,TC,Education,ET,Healthcare,HC,
Afghanistan,AFG,Partially Allowed,1,Negative PCR test results is required for all countries,0,Quarantine required for travelers,0,Masks are not required,2,All shops open,2,Transport Operational with restrictions,1,No measures,2,No data,,
Albania,ALB,Allowed,2,Negative PCR test results is required for all countries,0,There is no requirement to quarantine when arriving,2,Masks are required,0,All shops open,2,Transport Operational,2,Require closing (only some levels or categories),0,No data,,
Algeria,DZA,Allowed,2,Negative PCR test results is required for all countries,0,Quarantine required for travelers,0,Masks are required,0,All shops open,2,Transport Operational with restrictions,1,No measures,2,No data,,
Andorra,AND,Allowed,2,No tests required,2,Quarantine required for some travelers,1,Masks are required,0,All shops open,2,Transport Operational with restrictions,1,Recommend closing,1,No data,,
Angola,AGO,Partially Allowed,1,Negative PCR test results is required for all countries,0,Quarantine required for travelers,0,Masks are required for some places,1,All shops open,2,Transport Operational with restrictions,1,No measures,2,No data,,
Åland Islands,ALA,Partially Allowed,1,No tests required,2,Quarantine required for travelers,0,Masks are required for some places,1,All shops open,2,Transport Operational,2,No measures,2,No data,,
Argentina,ARG,Partially Allowed,1,No tests required,2,Quarantine required for travelers,0,Masks are required,0,All shops open,2,Transport Operational,2,Recommend closing,1,No data,,
Aruba,ABW,Allowed,2,Negative PCR test results is required for all countries,0,There is no requirement to quarantine when arriving,2,Masks are required,0,All shops open,2,Transport Operational with restrictions,1,Recommend closing,1,No data,,
Australia,AUS,Partially Allowed,1,Negative PCR results required for some countries,1,Quarantine required for travelers,0,Masks are required,0,All shops open,2,Transport Operational with restrictions,1,Recommend closing,1,Current covid patients in the hospital: 849,1,
Austria,AUT,Partially Allowed,1,Negative PCR results required for some countries,1,Quarantine required for travelers,0,Masks are required,0,All shops open,2,Transport Operational,2,Require closing (only some levels or categories),0,Current covid patients in the hospital: 1181 ,1,
Azerbaijan,AZE,Partially Allowed,1,Negative PCR test results is required for all countries,0,Quarantine required for travelers,0,Masks are required,0,All shops open,2,Transport Operational with restrictions,1,Recommend closing,1,No data,,
Anguilla,AIA,Partially Allowed,1,Negative PCR test results is required for all countries,0,Quarantine required for travelers,0,Masks are required,0,All shops open,2,Transport Operational with restrictions,1,No measures,2,No data,,
American Samoa,ASM,Banned,0,Negative PCR test results is required for all countries,0,Quarantine required for travelers,0,Masks are required,0,No data,,No data ,,No measures,2,No data,,
Antigua and Barbuda,ATG,Partially Allowed,1,Negative PCR test results is required for all countries,0,Quarantine required for some travelers,1,Masks are required,0,All shops open,2,Transport Operational with restrictions,1,No measures,2,No data,,
Armenia,ARM,Allowed,2,Negative PCR test results is required for all countries,0,Quarantine required for some travelers,1,Masks are required,0,All shops open,2,Transport Operational,2,No measures,2,No data,,
The Bahamas,BHS,Allowed,2,Negative PCR results required for some countries,1,Quarantine required for travelers,0,Masks are recommended,3,All shops open,2,Transport Operational with restrictions,2,Require closing (only some levels or categories),0,No data,,
Bahrain,BHR,Partially Allowed,1,Negative PCR test results is required for all countries,0,Quarantine required for travelers,0,Masks are required for some places,1,Only essential shops open,1,Transport Operational with restrictions,2,No measures,1,No data,,
Bangladesh,BGD,Partially Allowed,1,Negative PCR test results is required for all countries,0,Quarantine required for travelers,0,Masks are required,0,All shops open,2,Transport Operational with restrictions,2,No measures,1,No data,,
Barbados,BRB,Allowed,2,Negative PCR test results is required for all countries,0,Quarantine required for some travelers,1,Masks are required,0,All shops open,2,Transport Operational with restrictions,2,Require closing all levels,0,No data,,
Belarus,BLR,Partially Allowed,1,Negative PCR test results is required for all countries,0,Quarantine required for travelers,0,Masks are not required,2,All shops open,2,Transport Operational,2,No measures,2,No data,,
Belgium,BEL,Partially Allowed,1,Negative PCR results required for some countries,1,Quarantine required for some travelers,1,Masks are recommended,3,All shops open,2,Transport Operational,2,Recommend closing,1,Current covid patients in the hospital: 1511,1,
Belize,BLZ,Allowed,2,Negative PCR test results is required for all countries,0,Quarantine required for travelers,0,Masks are required,0,All shops open,2,Transport Operational with restrictions,1,Require closing all levels,0,No data,,
Benin,BEN,Partially Allowed,1,Negative PCR test results is required for all countries,0,Quarantine required for travelers,0,Masks are required,0,All shops open,2,Transport Operational,2,No measures,2,No data,,
Bhutan,BTN,Partially Allowed,1,Negative PCR test results is required for all countries,0,Quarantine required for travelers,0,Masks are not required,2,All shops open,2,Transport Operational with restrictions,1,Require closing (only some levels or categories),0,No data,,
Bolivia,BOL,Allowed,2,Negative PCR test results is required for all countries,0,Quarantine required for travelers,0,Masks are required,0,All shops open,2,Transport Operational with restrictions,1,Recommend closing,1,No data,,
Bosnia and Herzegovina,BIH,Allowed,2,Negative PCR results required for some countries,1,There is no requirement to quarantine when arriving,2,Masks are required for some places,1,All shops open,2,Transport Operational,2,Recommend closing,1,No data,,
Botswana,BWA,Allowed,2,Negative PCR test results is required for all countries,0,Quarantine required for travelers,0,Masks are required,0,All shops open,2,Transport Operational with restrictions,1,No measures,2,No data,,
Brazil,BRA,Partially Allowed,1,No tests required,2,There is no requirement to quarantine when arriving,2,Masks are required,0,All shops open,2,Transport Operational,2,Require closing (only some levels or categories),0,No data,,
Brunei,BRN,Banned,0,Negative PCR test results is required for all countries,0,Quarantine required for travelers,0,Masks are required,0,All shops open,2,Transport Operational with restrictions,1,Require closing all levels,0,No data,,
Bulgaria,BGR,Partially Allowed,1,Negative PCR test results is required for all countries,0,Quarantine required for travelers,0,Masks are required for some places,1,All shops open,2,Transport Operational,2,Require closing (only some levels or categories),0,Current covid patients in the hospital: 7880,1,
Burkina Faso,BFA,Allowed,2,Negative PCR test results is required for all countries,0,There is no requirement to quarantine when arriving,2,Masks are required,0,All shops open,2,Transport Operational,2,No measures,2,No data,,
Burundi,BDI,Allowed,2,Negative PCR test results is required for all countries,0,Quarantine required for some travelers,1,Masks are not required,2,All shops open,2,Transport Operational,2,No measures,2,No data,,
Cambodia,KHM,Partially Allowed,1,Negative PCR test results is required for all countries,0,Quarantine required for travelers,0,Masks are recommended,3,All shops open,2,Transport Operational with restrictions,1,Require closing (only some levels or categories),0,No data,,
Cameroon,CMR,Partially Allowed,1,Negative PCR test results is required for all countries,0,Quarantine required for travelers,0,Masks are required,0,All shops open,2,Transport Operational with restrictions,1,No measures,2,No data,,
Canada,CAN,Partially Allowed,1,Negative PCR test results is required for all countries,0,Quarantine required for travelers,0,Masks are required,0,All shops open,2,Transport Operational with restrictions,1,Require closing (only some levels or categories),0,Current covid patients in the hospital: 1704,1,
Cape Verde,CPV,Allowed,2,Negative PCR test results is required for all countries,0,There is no requirement to quarantine when arriving,2,Masks are required,0,All shops open,2,Transport Operational with restrictions,1,No measures,2,No data,,
Central African Republic,CAF,Allowed,2,Negative PCR test results is required for all countries,0,Quarantine required for travelers,0,Masks are required,0,All shops open,2,Transport Operational with restrictions,1,No measures,2,Current covid patients in the hospital: 737,1,
Chad,TCD,Allowed,2,Negative PCR test results is required for all countries,0,Quarantine required for travelers,0,Masks are required,0,All shops open,2,Transport Operational with restrictions,1,No measures,2,No data,,
Chile,CHL,Partially Allowed,1,Negative PCR test results is required for all countries,0,Quarantine required for travelers,0,Masks are required,0,All shops open,2,Transport Operational with restrictions,1,Recommend closing,1,No data,,
China,CHN,Partially Allowed,1,Negative PCR test results is required for all countries,0,Quarantine required for travelers,0,Masks are recommended,3,All shops open,2,Transport Operational,2,Require closing all levels,0,No data,,
Colombia,COL,Partially Allowed,1,No tests required,2,There is no requirement to quarantine when arriving,2,Masks are required,0,All shops open,2,Transport Operational with restrictions,1,No measures,2,No data,,
Christmas Island,CXR,Partially Allowed,1,No tests required,2,There is no requirement to quarantine when arriving,2,Masks are required,0,All shops open,2,Transport Operational,2,No measures,2,No data,,
Comoros,COM,Partially Allowed,1,No tests required,2,Quarantine required for travelers,0,Masks are required,0,All shops open,2,Transport Operational with restrictions,1,No measures,2,No data,,
Democratic Republic of the Congo,COD,Allowed,2,Negative PCR test results is required for all countries,0,Quarantine required for travelers,0,Masks are required,0,All shops open,2,Transport Operational with restrictions,1,No measures,2,No data,,
Republic of the Congo,COG,Allowed,2,Negative PCR test results is required for all countries,0,Quarantine required for travelers,0,Masks are required,0,Only essential shops open,1,Transport Operational with restrictions,1,No measures,2,No data,,
Cook Islands,COK,Partially Allowed,1,Negative PCR test results is required for all countries,0,Quarantine required for travelers,0,Masks are recommended,3,All shops open,2,Transport Operational with restrictions,1,No measures,2,No data,,
Costa Rica,CRI,Allowed,2,No tests required,2,There is no requirement to quarantine when arriving,2,Masks are required,0,All shops open,2,Transport Operational with restrictions,1,Require closing (only some levels or categories),0,No data,,
Cote d'Ivoire,CIV,Allowed,2,Negative PCR test results is required for all countries,0,Quarantine required for travelers,0,Masks are required,0,All shops open,2,Transport Operational with restrictions,1,No measures,2,No data,,
Croatia,HRV,Partially Allowed,1,Negative PCR results required for some countries,1,Quarantine required for some travelers,1,Masks are required for some places,1,All shops open,2,Transport Operational with restrictions,1,Recommend closing,1,Current covid patients in the hospital:1091,1,
Cuba,CUB,Partially Allowed,1,Negative PCR test results is required for all countries,0,Quarantine required for travelers,0,Masks are required,0,All shops open,2,Transport Operational with restrictions,1,Require closing all levels,3,No data,,
Cyprus,CYP,Partially Allowed,1,Negative PCR results required for some countries,1,Quarantine required for some travelers,1,Masks are required for some places,1,All shops open,2,Transport Operational with restrictions,1,Recommend closing,1,Current covid patients in the hospital: 61,1,
Czechia,CZE,Partially Allowed,1,Negative PCR results required for some countries,1,Quarantine required for some travelers,1,Masks are required for some places,1,All shops open,2,Transport Operational with restrictions,1,Recommend closing,1,Current covid patients in the hospital: 1670,1,
Denmark,DNK,Partially Allowed,1,Negative PCR test results is required for all countries,0,Quarantine required for travelers,0,Masks are recommended,3,All shops open,2,Transport Operational,2,Recommend closing,1,Current covid patients in the hospital: 233,1,
Djibouti,DJI,Allowed,2,Negative PCR results required for some countries,1,Quarantine required for some travelers,1,Masks are required,0,All shops open,2,Transport Operational,2,Recommend closing,1,No data,,
Dominica,DMA,Allowed,2,Negative PCR test results is required for all countries,0,Quarantine required for some travelers,1,Masks are required,0,Only essential shops open,1,Transport Operational,2,Require closing all levels,0,No data,,
Dominican Republic,DOM,Allowed,2,Negative PCR results required for some countries,1,Quarantine required for some travelers,1,Masks are required,0,All shops open,2,Transport Operational with restrictions,1,Recommend closing,1,No data,,
